venue,address,contact,type,cost,info,doorways,soundsystem,food-drink,capacity,hours,nearest-transit,notes,fragrance

Accesspoint on Danforth,3079 Danforth Ave.,416-693-8677. Ask for John who handles bookings.,community centre,"Fee is variable, depending on the event.","accessible washrooms, elevator",,They have speakers.,no. alcohol is not permitted on the premises.,Room can be configured. Up to 200.,"Any event has to fall within their hours of operation which are Mon, Tues, Thu: 9:00am to 8:00pm
Wed:1:00pm to 5:00pm                             
Fri: 9:00am to 5:00pm
Sat: 10:00am to 5:00pm
Sun: Closed",,They are a community centre so the events they tend to favour reflect that.,
"Aki Studio Theatre, Native Earth Performing Arts","585 Dundas St. E, Suite 120",0,studio theatre,"varies. more info here: http://www.nativeearth.ca/ne/regent-park-arts-cultural-centre/ $3500 for a week, and that includes online box office support, and 35 hours of a tech. If you just want one night, it's around $600.","Completely accessible (entrance, washroom, elevator). Also GORGEOUS.  Theatre is theatre in the round style, with seating on four sides. There is wc acessible seating space.",,yes,"No. You would need to get a license, security, and organize it.","117, but they have 129 chairs.",Native Earth office hours: Mon-Fri 10am-6pm,"Right on Dundas streetcar,which is not wheelchair accessible. Closest accessible TTC is parliament street bus.","Because they are a theatre, they tend to be booked with plays most of the time. They have more room for bookings late Dec to early Jan, and July-August and early Sept. Great to support a Native run theatre space.",
Arraymusic,155 Walnut Avenue,www.arraymusic.com  416-532-3019,"Rehearsal Space, Venue, Studio, multipurpose space","$23/hr monday -thursday  $33/hr friday - sunday + HST with additional equipment available for rental such as PA, amps, drum kit, projector etc. ","ramp up to front door, elevator up to second floor which is where the studio space is. 1 Accessible washroom ",,yes,"Client must bring in their own food and drink, SOP required for alcohol at private event only",60 seated comfortably,Rentals available from 8am to midnight daily,streetcars at Queen and Niagara and King and Niagara,No accessible access to kitchen area,low/none
Art Gallery of Ontario,317 dundas street west,www.ago.net  Contact 416-979-6660 ext 503,"public space, gallery, arts space",varies,"accessible stalls and washrooms, elevators, ramps, ASL interpretation provided if requested, gallery guides trained in verbal description and tactile touring, programming tours offered in ASL +++ check website for full details ",,yes fully equiped sound system and media set up,"yes, they run a bar - keep in mind that beer and wine is very expensive at this venue and isn't negotiable.",depends on space- anywhere from 40 ppl-600 ppl upwards,Tuesday-Sunday 10:30-5:30 except wednesdays where its open till 8:30pm,,Night time bookings outside of gallery hours can be arranged.,
Artscape Sandbox,301 Adelaide Street West,"Erica Mason, Performance Venues Assistant,
416-530-2787 x222, emason@artscape.ca",Multi-purpose event space,"Varies based on the event, use of space and whether it is a for-profit or not-for-profit venture. Contact for estimate.","Main entrance off Adelaide Street - automatic door at street level. Wheelchair accessible washroom in lobby. All washrooms are gender neutral and single stall. One of them has a baby change station. Main event space is down a small ramp which has tactile ground surface indicators at the top and bottom. There is a second wheelchair accessible washroom in the main event space, and another street level wheelchair accessible door that exits to Widmir Street.",,"All the following is available in-house, however rental fees may apply. SOUND: 4 main ceiling mounted speakers and 24 channel input sound board, SM58 (vocal) and SM57 (instrumental) microphones, DI boxes for musical instruments, 2 wireless handheld microphones, microphone stands. VIDEO: 2 projectors that can be focused on the event space's white walls, video switcher to change between video inputs. STAGING: risers that can be confired as a stage in various sizes and heights or used as audience seating, chairs, large event tables, coat racks and hangers. LIGHTING: lighting board with 24 LED lights to illuminate the event space, conventional lighting for the stage, moving lights for parties.","Yes - client must provide SOP for alcohol, food must be from a licensed caterer. Landmark fees apply. Security staff required when alcohol is being served. Client must also provide proof of insurance for all bookings.",200 inclduing all event staff,"Building is not open to the public, unless there is an event that is open to the public. Call ahead to book a tour.","SUBWAY: St.Andrew Station - wheelchair accessible. STREETCAR: King or Spadina, accessible if the new streetcars are on it.",,Low-fragrance but not guarenteed to be frangrance free.
Artscape Wychwood Barn - Covered Street Barn, 601 Christie Street,artscapeeventvenues.ca,"large enclosed barn, ","varies greatly, email to find out more","accessible washrooms, building and staging",,in-house system that can accommodate additional requirements. Various microphones available as well as dvd and cd player built in. Various stage configurations can be had,yes,"anywhere from 50-1000 people (the space is 7,680 sq ft), can be configured for different amounts","loud performances can't continue past 10 on sun-wed, and past 11 on thurs-sat",,a variety of lighting and projection equipment can be used,
Artscape Youngplace,"180 Shaw Street, Suite #110 (btwn Queen St W / Dundas St W)",artscapeeventvenues.ca,"studio space in a community arts centre, suitable for exhibitions, meetings, events",different rental costs depending on time of day - email for a full price list. examples: evening (630-11pm) 250$ | weekend full day (noon-midnight) 400$,"ramp at entrance, elevator to all floors, wheelchair accessible bathrooms on each floor",,,,,,"Queen streetcar, Dundas streetcar (not barrier-free)",,
Avenue Cafe + Bistro,480 University Ave,(416) 979-0500,Cafe,no reservations taken - free,everything on one level. accessible entrance and accessible washrrooms,,,yes,,7:30 am to 5:30 pm Monday to Friday. Closed on weekends,,,
Beaver Hall Gallery,29 McCaul Street,beaverhallgallery@gmail.com,Gallery,$200/day $500/week,"one level, accessible washroom; ",,,,,,,,
